Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
QA,Chrome 71.0.3578.98,,2018-12-27 17:27:30,2018-12-27 17:28:39,1m - 9.088s,FAILED
,,,,,,
Test Cases/LogInScript,Chrome 71.0.3578.98,,2018-12-27 17:27:30,2018-12-27 17:27:58,27.343s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-27 17:27:30,2018-12-27 17:27:49,18.915s,PASSED
loginScriptPage.UserLogIn.LogIn(),Chrome 71.0.3578.98,,2018-12-27 17:27:50,2018-12-27 17:27:50,0.579s,PASSED
loginScriptPage.UserLogIn.ClickSettingsButton(ClickProjects),Chrome 71.0.3578.98,,2018-12-27 17:27:50,2018-12-27 17:27:56,6.155s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-27 17:27:56,2018-12-27 17:27:58,1.176s,PASSED
,,,,,,
Test Cases/CreateNewProject,Chrome 71.0.3578.98,,2018-12-27 17:27:58,2018-12-27 17:28:39,41.055s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-27 17:27:58,2018-12-27 17:28:18,20.546s,PASSED
loginScriptPage.UserLogIn.LogIn(),Chrome 71.0.3578.98,,2018-12-27 17:28:19,2018-12-27 17:28:19,0.484s,PASSED
loginScriptPage.UserLogIn.ClickSettingsButton(ClickOnProject),Chrome 71.0.3578.98,,2018-12-27 17:28:19,2018-12-27 17:28:25,5.812s,PASSED
createNewProject.NewProject.AddNewProject(AddCountry),Chrome 71.0.3578.98,,2018-12-27 17:28:25,2018-12-27 17:28:37,12.473s,FAILED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-27 17:28:37,2018-12-27 17:28:39,1.249s,PASSED
